,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,20,RL,8414,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,8,1963,2003,Hip,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,No,GLQ,663,Unf,0,396,1059,GasA,3,Y,SBrkr,1068,0,0,1068,0,1,1,0,3,1,3,6,Typ,0,0,Attchd,RFn,1,264,3,3,Y,192,0,0,0,0,0,0,2,2006,WD,Normal,154500
1,60,RL,12256,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,BrkFace,4,3,PConc,5,3,Av,GLQ,1032,Unf,0,431,1463,GasA,5,Y,SBrkr,1500,1122,0,2622,1,0,2,1,3,1,4,9,Typ,2,3,Attchd,RFn,2,712,3,3,Y,186,32,0,0,0,0,0,4,2010,WD,Normal,325000
2,30,RM,8960,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,3,3,CBlock,3,3,No,Unf,0,Unf,0,1008,1008,GasA,4,Y,FuseA,1028,0,0,1028,0,0,1,0,2,1,3,5,Typ,1,4,Detchd,Unf,2,360,3,3,Y,0,0,130,0,0,0,0,3,2010,WD,Normal,115000
3,50,RM,5000,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,6,7,1947,1950,Gable,CompShg,CemntBd,CmentBd,None,3,4,CBlock,3,3,No,ALQ,399,Unf,0,605,1004,GasA,5,Y,SBrkr,1004,660,0,1664,0,0,2,0,3,1,3,7,Typ,2,4,Detchd,Unf,2,420,3,3,Y,0,24,36,0,0,0,0,10,2006,WD,Normal,159000
4,20,RL,12898,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,4,3,PConc,5,3,Gd,GLQ,1022,Unf,0,598,1620,GasA,5,Y,SBrkr,1620,0,0,1620,1,0,2,0,2,1,5,6,Typ,1,5,Attchd,Fin,3,912,3,3,Y,228,0,0,0,0,0,0,9,2009,WD,Normal,315500
5,180,RM,1491,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,SFoyer,4,6,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,3,3,CBlock,4,3,Av,LwQ,150,GLQ,480,0,630,GasA,5,Y,SBrkr,630,0,0,630,1,0,1,0,1,1,3,3,Typ,0,0,NA,NA,0,0,0,0,Y,96,24,0,0,0,0,0,5,2010,WD,Normal,75500
6,50,RL,15660,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,4,CBlock,3,3,No,BLQ,341,Unf,0,457,798,GasA,5,Y,SBrkr,1137,817,0,1954,0,1,1,1,3,1,4,8,Typ,2,3,Attchd,Unf,2,431,3,3,Y,0,119,150,0,0,0,0,5,2008,WD,Normal,311500
7,160,RL,2280,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,3,3,CBlock,4,3,No,ALQ,311,Unf,0,544,855,GasA,2,Y,SBrkr,855,601,0,1456,0,0,2,1,3,1,3,7,Typ,1,3,Attchd,Unf,2,440,3,3,Y,26,0,0,0,0,0,0,7,2010,WD,Normal,146000
8,180,RM,1936,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,6,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,3,3,CBlock,4,3,Av,BLQ,131,GLQ,499,0,630,GasA,4,Y,SBrkr,630,0,0,630,1,0,1,0,1,1,3,3,Typ,0,0,NA,NA,0,0,0,0,Y,0,0,0,0,0,0,0,12,2007,WD,Normal,84500
9,50,RL,16466,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,3,4,PConc,3,3,No,Unf,0,Unf,0,816,816,GasA,3,Y,SBrkr,872,521,0,1393,0,0,1,1,3,1,3,8,Typ,0,0,Attchd,Unf,1,300,3,3,Y,121,0,0,0,265,0,0,4,2008,WD,Normal,135500
10,50,RL,6292,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,7,7,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,BrkTil,3,3,No,Unf,0,Unf,0,861,861,GasA,4,Y,SBrkr,877,600,0,1477,0,1,2,0,3,1,3,6,Typ,1,4,Detchd,Unf,1,216,3,3,Y,0,50,0,0,0,0,0,8,2009,WD,Normal,145000
11,20,RL,9858,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,3,3,CBlock,3,3,No,BLQ,510,Unf,0,354,864,GasA,3,Y,SBrkr,874,0,0,874,1,0,1,0,3,1,3,5,Typ,0,0,Attchd,RFn,1,288,3,3,Y,33,0,0,0,0,0,600,11,2009,WD,Normal,130000
12,30,C (all),18000,Grvl,Reg,Low,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,3,4,1935,1950,Gable,CompShg,MetalSd,MetalSd,None,2,3,CBlock,3,3,No,Unf,0,Unf,0,894,894,GasA,3,Y,SBrkr,894,0,0,894,0,0,1,0,2,1,3,6,Typ,0,0,Detchd,RFn,3,1248,3,3,Y,0,20,0,0,0,0,560,8,2008,ConLD,Normal,81000
13,20,RL,10171,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,No,GLQ,2,Unf,0,1515,1517,GasA,5,Y,SBrkr,1535,0,0,1535,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,RFn,2,532,3,3,Y,0,0,0,0,0,0,0,3,2010,WD,Normal,214000
14,60,RL,8063,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,4,3,No,Unf,0,Unf,0,924,924,GasA,5,Y,SBrkr,948,742,0,1690,0,0,2,1,3,1,3,7,Typ,1,3,Attchd,RFn,2,463,3,3,Y,100,48,0,0,0,0,0,11,2007,WD,Abnorml,181000
15,20,RL,8923,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,CBlock,3,3,No,BLQ,643,Unf,0,365,1008,GasA,4,Y,SBrkr,1008,0,0,1008,1,0,1,0,2,1,4,6,Typ,0,0,Attchd,Unf,1,240,3,3,Y,0,18,0,0,0,0,0,5,2007,WD,Normal,134500
16,60,RL,8244,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,No,Unf,0,Unf,0,840,840,GasA,5,Y,SBrkr,840,880,0,1720,0,0,2,1,3,1,4,7,Typ,1,4,Attchd,Fin,2,440,3,3,Y,100,48,0,0,0,0,0,5,2007,WD,Normal,183500
17,20,RL,7000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,2002,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,3,3,CBlock,3,3,No,Rec,588,Unf,0,422,1010,GasA,5,Y,SBrkr,1134,0,0,1134,0,0,1,0,2,1,3,6,Typ,0,0,Attchd,RFn,1,254,3,3,Y,0,16,0,0,0,0,0,4,2007,WD,Family,135000
18,30,RM,8263,Pave,Reg,Bnk,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1Story,6,5,1920,1950,Gable,CompShg,BrkFace,BrkFace,None,3,3,BrkTil,3,3,No,Unf,0,Unf,0,1012,1012,GasA,3,Y,FuseA,1012,0,0,1012,0,0,1,0,2,1,3,6,Typ,1,4,Detchd,Unf,1,308,3,3,Y,0,22,112,0,0,0,0,5,2007,WD,Normal,118400
19,20,RL,10665,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,3,PConc,4,3,Av,GLQ,1013,Unf,0,440,1453,GasA,5,Y,SBrkr,1479,0,0,1479,1,0,2,0,3,1,4,7,Typ,0,0,Attchd,RFn,2,558,3,3,Y,144,29,0,0,0,0,0,6,2007,WD,Normal,226000
20,20,RL,13125,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,4,1957,2000,Gable,CompShg,Wd Sdng,Wd Sdng,BrkCmn,3,3,CBlock,3,3,No,Rec,168,BLQ,682,284,1134,GasA,5,Y,SBrkr,1803,0,0,1803,1,0,2,0,3,1,3,8,Maj1,1,3,Attchd,RFn,2,484,3,3,Y,0,0,0,0,0,0,0,1,2006,WD,Normal,155000
21,60,FV,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,No,Unf,0,Unf,0,768,768,GasA,5,Y,SBrkr,786,804,0,1590,0,0,2,1,3,1,4,6,Typ,0,0,Attchd,RFn,2,676,3,3,Y,0,30,0,0,0,0,0,6,2009,WD,Normal,210000
22,60,RL,8633,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,No,GLQ,193,Unf,0,545,738,GasA,5,Y,SBrkr,738,738,0,1476,1,0,2,1,3,1,4,7,Typ,0,0,Attchd,Fin,2,540,3,3,Y,100,35,0,0,0,0,0,2,2009,WD,Normal,173500
23,20,RL,5868,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,2000,Gable,CompShg,MetalSd,MetalSd,None,3,3,CBlock,3,3,No,BLQ,248,Rec,240,448,936,GasA,5,Y,SBrkr,936,0,0,936,1,0,1,0,2,1,3,4,Typ,0,0,Attchd,Fin,1,308,3,3,Y,0,0,80,0,160,0,0,5,2010,WD,Normal,129000
24,20,RL,9017,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,Av,GLQ,560,Unf,0,871,1431,GasA,5,Y,SBrkr,1431,0,0,1431,1,0,2,0,3,1,4,6,Typ,0,0,Attchd,Fin,2,666,3,3,Y,0,35,0,0,0,0,0,9,2009,WD,Normal,192000
25,120,RL,7892,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1993,Gable,CompShg,Plywood,Plywood,None,4,3,PConc,4,3,No,GLQ,300,Unf,0,899,1199,GasA,5,Y,SBrkr,1199,0,0,1199,0,0,2,0,2,1,4,5,Typ,0,0,Attchd,RFn,2,530,3,3,Y,0,63,0,0,0,0,0,3,2008,WD,Normal,153900
26,20,RL,8899,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,Av,GLQ,24,Unf,0,1316,1340,GasA,5,Y,SBrkr,1340,0,0,1340,0,0,2,0,3,1,4,6,Typ,0,0,Attchd,Fin,2,396,3,3,Y,100,30,0,0,0,0,0,8,2007,New,Partial,181134
27,20,RL,19138,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,3,3,CBlock,3,3,No,LwQ,120,Unf,0,744,864,GasA,5,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,Unf,2,400,3,3,Y,0,0,0,0,0,0,0,6,2010,WD,Normal,141000
